step: 120 | loss: 6.0354 | toks/s: 5736.4
step: 121 | loss: 6.1980 | toks/s: 5750.5
step: 122 | loss: 5.9837 | toks/s: 5692.9
step: 123 | loss: 6.3524 | toks/s: 5697.3
step: 124 | loss: 6.1004 | toks/s: 5235.0
step: 125 | loss: 6.2342 | toks/s: 5233.7
step: 126 | loss: 6.2350 | toks/s: 5199.5
step: 127 | loss: 6.0405 | toks/s: 5755.4
step: 128 | loss: 5.9945 | toks/s: 5745.8
step: 129 | loss: 6.5865 | toks/s: 5762.9
step: 130 | loss: 6.1186 | toks/s: 5712.4
step: 131 | loss: 5.5957 | toks/s: 5745.0
step: 132 | loss: 6.0155 | toks/s: 5679.4
step: 133 | loss: 6.0142 | toks/s: 5719.4
step: 134 | loss: 6.0658 | toks/s: 5727.9
step: 135 | loss: 6.0588 | toks/s: 5678.2
step: 136 | loss: 5.9718 | toks/s: 5700.9
step: 137 | loss: 5.9473 | toks/s: 5675.8
step: 138 | loss: 5.6745 | toks/s: 5242.9
step: 139 | loss: 6.2163 | toks/s: 5721.5
step: 140 | loss: 5.8661 | toks/s: 5653.2
step: 141 | loss: 5.6263 | toks/s: 5721.5
step: 142 | loss: 5.9604 | toks/s: 5665.7
step: 143 | loss: 5.7060 | toks/s: 5728.0
step: 144 | loss: 5.3677 | toks/s: 5708.9
step: 145 | loss: 5.8939 | toks/s: 5723.7
step: 146 | loss: 6.2346 | toks/s: 5702.2
step: 147 | loss: 6.0685 | toks/s: 5671.3
step: 148 | loss: 5.9585 | toks/s: 5573.3
step: 149 | loss: 5.4043 | toks/s: 5674.0
step: 150 | loss: 5.6795 | toks/s: 5646.8
step: 151 | loss: 6.3469 | toks/s: 5672.6
step: 152 | loss: 5.2167 | toks/s: 5714.8
step: 153 | loss: 6.0907 | toks/s: 5679.9
step: 154 | loss: 5.6711 | toks/s: 5693.3
step: 155 | loss: 5.6831 | toks/s: 5658.7
step: 156 | loss: 5.7686 | toks/s: 5701.3
step: 157 | loss: 5.7850 | toks/s: 5637.9
step: 158 | loss: 6.0157 | toks/s: 5674.4
step: 159 | loss: 6.0401 | toks/s: 5650.6
step: 160 | loss: 6.3277 | toks/s: 5659.6
step: 161 | loss: 5.8401 | toks/s: 5653.5
step: 162 | loss: 5.9090 | toks/s: 5662.4
step: 163 | loss: 5.3552 | toks/s: 5599.5
step: 164 | loss: 5.2949 | toks/s: 5707.5
step: 165 | loss: 5.6826 | toks/s: 5670.9
step: 166 | loss: 5.8867 | toks/s: 5695.8
step: 167 | loss: 6.0165 | toks/s: 5642.4
step: 168 | loss: 5.6396 | toks/s: 5649.8
step: 169 | loss: 5.4382 | toks/s: 5691.2
step: 170 | loss: 5.6031 | toks/s: 5673.6
step: 171 | loss: 5.9575 | toks/s: 5648.1
step: 172 | loss: 5.1429 | toks/s: 5674.3
step: 173 | loss: 6.0415 | toks/s: 5667.5
step: 174 | loss: 5.6081 | toks/s: 5638.1
step: 175 | loss: 5.8244 | toks/s: 5657.0
step: 176 | loss: 5.3389 | toks/s: 5678.6
step: 177 | loss: 6.2264 | toks/s: 5632.3
step: 178 | loss: 5.9440 | toks/s: 5660.1
step: 179 | loss: 5.7849 | toks/s: 5695.4
step: 180 | loss: 5.4638 | toks/s: 5651.3
step: 181 | loss: 6.0873 | toks/s: 5636.5
step: 182 | loss: 5.3787 | toks/s: 5641.9
step: 183 | loss: 5.9060 | toks/s: 5685.1
step: 184 | loss: 6.0950 | toks/s: 5650.1
step: 185 | loss: 5.7075 | toks/s: 5611.8
step: 186 | loss: 5.5344 | toks/s: 5661.4
step: 187 | loss: 5.6358 | toks/s: 5637.3
step: 188 | loss: 5.8601 | toks/s: 5626.1
step: 189 | loss: 5.9278 | toks/s: 5650.2
step: 190 | loss: 5.4239 | toks/s: 5680.7
step: 191 | loss: 5.9677 | toks/s: 5644.2
step: 192 | loss: 5.7782 | toks/s: 5642.7
step: 193 | loss: 5.7664 | toks/s: 5662.4
step: 194 | loss: 5.5914 | toks/s: 5655.7
step: 195 | loss: 5.6979 | toks/s: 5650.4
step: 196 | loss: 5.9701 | toks/s: 5677.2
step: 197 | loss: 5.8558 | toks/s: 5671.6
step: 198 | loss: 5.5880 | toks/s: 5714.1
step: 199 | loss: 5.4859 | toks/s: 5674.5
step: 200 | loss: 5.6051 | toks/s: 5662.4
step: 201 | loss: 5.2886 | toks/s: 5597.5
step: 202 | loss: 5.7150 | toks/s: 5575.6
step: 203 | loss: 5.8113 | toks/s: 5670.4
step: 204 | loss: 5.5828 | toks/s: 5677.6
step: 205 | loss: 5.6435 | toks/s: 5704.7
step: 206 | loss: 5.6464 | toks/s: 5649.5
step: 207 | loss: 5.6102 | toks/s: 5707.0
step: 208 | loss: 5.5720 | toks/s: 5661.4
step: 209 | loss: 5.0370 | toks/s: 5682.9
step: 210 | loss: 5.6695 | toks/s: 5673.4
step: 211 | loss: 5.6544 | toks/s: 5573.3
step: 212 | loss: 5.4622 | toks/s: 5659.4
step: 213 | loss: 5.5974 | toks/s: 5646.4
step: 214 | loss: 5.7530 | toks/s: 5686.8
step: 215 | loss: 5.4743 | toks/s: 5697.6
step: 216 | loss: 5.1471 | toks/s: 5662.7
step: 217 | loss: 5.7835 | toks/s: 5701.5
step: 218 | loss: 5.4235 | toks/s: 5665.5
step: 219 | loss: 5.5934 | toks/s: 5680.2
step: 220 | loss: 5.1210 | toks/s: 5623.2
step: 221 | loss: 5.6323 | toks/s: 5684.2
step: 222 | loss: 5.4176 | toks/s: 5655.8
step: 223 | loss: 5.3984 | toks/s: 5691.8
step: 224 | loss: 5.9355 | toks/s: 5722.3
step: 225 | loss: 5.0628 | toks/s: 5663.5
step: 226 | loss: 5.9493 | toks/s: 5655.3
step: 227 | loss: 5.3801 | toks/s: 5666.1
step: 228 | loss: 5.7790 | toks/s: 5636.8
step: 229 | loss: 5.7305 | toks/s: 5581.1
step: 230 | loss: 5.7324 | toks/s: 5685.4
step: 231 | loss: 5.5346 | toks/s: 5655.0
step: 232 | loss: 5.6366 | toks/s: 5604.0
step: 233 | loss: 5.2114 | toks/s: 5696.7
step: 234 | loss: 5.9499 | toks/s: 5626.1
step: 235 | loss: 5.2830 | toks/s: 5667.3
step: 236 | loss: 5.8021 | toks/s: 5628.3
step: 237 | loss: 5.6995 | toks/s: 5649.0
step: 238 | loss: 5.6128 | toks/s: 5633.7
step: 239 | loss: 5.3198 | toks/s: 5656.7
step: 240 | loss: 5.6888 | toks/s: 5633.7
step: 241 | loss: 5.7606 | toks/s: 5668.3
step: 242 | loss: 5.7323 | toks/s: 5625.1
step: 243 | loss: 5.7118 | toks/s: 5669.5
step: 244 | loss: 5.2881 | toks/s: 5686.2
step: 245 | loss: 5.6188 | toks/s: 5641.6
step: 246 | loss: 5.9393 | toks/s: 5377.9
step: 247 | loss: 5.7648 | toks/s: 5650.6
step: 248 | loss: 5.4495 | toks/s: 5703.2
step: 249 | loss: 5.4947 | toks/s: 5722.5
